id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
114953,"Modern Apartment, free Parking, flexible check-in",562563,Babsi,,Floridsdorf,48.26211,16.39924,Entire home/apt,69,3,17,2020-07-18,0.17,1,0,0,
121026,Feels-Like-Home Apt @ Praterstern,608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,57,3,301,2022-03-07,2.30,2,317,30,
125683,Cozy studio infront of Prater.,624511,Mathias,,Leopoldstadt,48.21914,16.40276,Entire home/apt,75,2,54,2020-02-10,0.51,2,365,0,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,143,1,2,2018-12-16,0.05,14,321,0,
149759,Near the Sofitel.10 min from Stephanplatz,722110,Mag. Patricia,,Leopoldstadt,48.21272,16.3806,Entire home/apt,120,3,7,2020-12-12,0.06,1,39,0,
153988,City Center Apartment - Free Wifi unlimited,739130,Roman,,Alsergrund,48.21606,16.34875,Entire home/apt,52,1,132,2022-01-25,1.03,1,257,6,
155762,"Cosy, urban, perfect location close to city center",748953,Andrea,,Leopoldstadt,48.22113,16.36907,Entire home/apt,43,14,8,2021-10-30,0.08,2,150,2,
163792,Apartment Vienna Simmering,651150,Klaus & Ligia,,Simmering,48.18022,16.41955,Entire home/apt,45,3,108,2022-01-03,0.85,1,7,7,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,36,2,367,2021-12-26,2.85,1,320,3,
169752,Naschmarkt mini: modern studio in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,49,1,65,2021-08-28,0.79,6,66,5,
169852,Naschmarkt classic: spacious flat in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,66,1,67,2022-01-09,0.53,6,110,2,
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,111,1,2,2017-01-05,0.03,14,298,0,
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,111,1,1,2016-08-03,0.01,14,320,0,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,79,1,5,2018-09-02,0.04,14,328,0,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,79,1,0,,,14,333,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,89,1,0,,,14,331,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,143,1,0,,,14,338,0,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,143,1,3,2016-12-14,0.03,14,319,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,89,1,0,,,14,301,0,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,89,1,3,2018-05-06,0.03,14,314,0,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,89,1,2,2021-10-30,0.07,14,312,1,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2014-01-05,0.01,14,316,0,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2017-05-01,0.02,14,256,0,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,89,1,68,2022-01-02,0.59,2,338,6,
203691,"At the City center room with shower, sink",518644,Michael,,Margareten,48.19347,16.359,Private room,35,1,39,2022-02-18,0.30,25,336,4,
208734,美妙的维也纳市中心居家生活体验!,1028000,Liang,,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,2019-05-21,0.38,1,0,0,
